1 	Amrou Scout 	Creature . Kithkin Rebel Scout 2/1 	1W 	Common 	Quinton Hoover 	English Time Spiral
267 	Venser's Sliver 	Artifact Creature . Sliver 3/3 	5 	Common 	Carl Critchlow 	English Time Spiral
268 	Weatherseed Totem 	Artifact 	3 	Uncommon 	Heather Hudson 	English Time Spiral
269 	Academy Ruins 	Legendary Land 		Rare 	Zoltan Boros & Gabor Szikszai 	English Time Spiral
270 	Calciform Pools 	Land 		Uncommon 	Darrell Riche 	English Time Spiral
271 	Dreadship Reef 	Land 		Uncommon 	Lars Grant-West 	English Time Spiral
272 	Flagstones of Trokair 	Legendary Land 		Rare 	Rob Alexander 	English Time Spiral
273 	Fungal Reaches 	Land 		Uncommon 	Martina Pilcerova 	English Time Spiral
274 	Gemstone Caverns 	Legendary Land 		Rare 	Martina Pilcerova 	English Time Spiral
275 	Kher Keep 	Legendary Land 		Rare 	Parente 	English Time Spiral
276 	Molten Slagheap 	Land 		Uncommon 	Daren Bader 	English Time Spiral
277 	Saltcrusted Steppe 	Land 		Uncommon 	Greg Staples 	English Time Spiral
278 	Swarmyard 	Land 		Rare 	Thomas M. Baxa 	English Time Spiral
279 	Terramorphic Expanse 	Land 		Common 	Dan Scott 	English Time Spiral
280 	Urza's Factory 	Land . Urza's 		Uncommon 	Mark Tedin 	English Time Spiral
281 	Vesuva 	Land 		Rare 	Zoltan Boros & Gabor Szikszai 	English Time Spiral
282 	Plains 	Basic Land . Plains 		Land 	Rob Alexander 	English Time Spiral
283 	Plains 	Basic Land . Plains 		Land 	Craig Mullins 	English Time Spiral
284 	Plains 	Basic Land . Plains 		Land 	Justin Sweet 	English Time Spiral
285 	Plains 	Basic Land . Plains 		Land 	Richard Wright 	English Time Spiral
286 	Island 	Basic Land . Island 		Land 	Rob Alexander 	English Time Spiral
287 	Island 	Basic Land . Island 		Land 	Jeremy Jarvis 	English Time Spiral
288 	Island 	Basic Land . Island 		Land 	Craig Mullins 	English Time Spiral
289 	Island 	Basic Land . Island 		Land 	Richard Wright 	English Time Spiral
290 	Swamp 	Basic Land . Swamp 		Land 	John Avon 	English Time Spiral
291 	Swamp 	Basic Land . Swamp 		Land 	Vance Kovacs 	English Time Spiral
292 	Swamp 	Basic Land . Swamp 		Land 	Craig Mullins 	English Time Spiral
293 	Swamp 	Basic Land . Swamp 		Land 	Richard Wright 	English Time Spiral
294 	Mountain 	Basic Land . Mountain 		Land 	John Avon 	English Time Spiral
295 	Mountain 	Basic Land . Mountain 		Land 	D. Alexander Gregory 	English Time Spiral
296 	Mountain 	Basic Land . Mountain 		Land 	Craig Mullins 	English Time Spiral
297 	Mountain 	Basic Land . Mountain 		Land 	Greg Staples 	English Time Spiral
298 	Forest 	Basic Land . Forest 		Land 	Rob Alexander 	English Time Spiral
299 	Forest 	Basic Land . Forest 		Land 	Vance Kovacs 	English Time Spiral
300 	Forest 	Basic Land . Forest 		Land 	Craig Mullins 	English Time Spiral
301 	Forest 	Basic Land . Forest 		Land 	Stephen Tappin 	English Time Spiral
