1 	Angel of Mercy 	Creature - Angel 3/3 	4W 	Uncommon 	Melissa A. Benson 	English Eighth Edition
279 	Spined Wurm 	Creature - Wurm 5/4 	4G 	Common 	Keith Parkinson 	English Eighth Edition
280 	Spitting Spider 	Creature - Spider 3/5 	3GG 	Uncommon 	Edward P. Beard, Jr. 	English Eighth Edition
281 	Spreading Algae 	Enchant Land 	G 	Uncommon 	Stephen Daniele 	English Eighth Edition
282 	Stream of Life 	Sorcery 	XG 	Uncommon 	Andrew Goldhawk 	English Eighth Edition
283 	Thorn Elemental 	Creature - Elemental 7/7 	5GG 	Rare 	rk post 	English Eighth Edition
284 	Trained Armodon 	Creature - Elephant 3/3 	1GG 	Common 	Gary Leach 	English Eighth Edition
285 	Verduran Enchantress 	Creature - Druid 0/2 	1GG 	Rare 	Rob Alexander 	English Eighth Edition
286 	Vernal Bloom 	Enchantment 	3G 	Rare 	Bob Eggleton 	English Eighth Edition
287 	Vine Trellis 	Creature - Wall 0/4 	1G 	Common 	DiTerlizzi 	English Eighth Edition
288 	Wing Snare 	Sorcery 	2G 	Uncommon 	Daren Bader 	English Eighth Edition
289 	Wood Elves 	Creature - Elf 1/1 	2G 	Common 	Christopher Moeller 	English Eighth Edition
290 	Yavimaya Enchantress 	Creature - Druid 2/2 	2G 	Uncommon 	Matthew D. Wilson 	English Eighth Edition
291 	Aladdin's Ring 	Artifact 	8 	Rare 	Dave Dorman 	English Eighth Edition
292 	Beast of Burden 	Artifact Creature */* 	6 	Rare 	Chippy 	English Eighth Edition
293 	Brass Herald 	Artifact Creature - Golem 2/2 	6 	Rare 	Daren Bader 	English Eighth Edition
294 	Coat of Arms 	Artifact 	5 	Rare 	Scott M. Fischer 	English Eighth Edition
295 	Crystal Rod 	Artifact 	1 	Uncommon 	Donato Giancola 	English Eighth Edition
296 	Defense Grid 	Artifact 	2 	Rare 	Mark Tedin 	English Eighth Edition
297 	Dingus Egg 	Artifact 	4 	Rare 	Randy Gallegos 	English Eighth Edition
298 	Disrupting Scepter 	Artifact 	3 	Rare 	Stuart Griffin 	English Eighth Edition
299 	Distorting Lens 	Artifact 	2 	Rare 	Glen Angus 	English Eighth Edition
300 	Ensnaring Bridge 	Artifact 	3 	Rare 	Ron Spencer 	English Eighth Edition
301 	Flying Carpet 	Artifact 	4 	Rare 	Dany Orizio 	English Eighth Edition
302 	Fodder Cannon 	Artifact 	4 	Uncommon 	Christopher Moeller 	English Eighth Edition
303 	Howling Mine 	Artifact 	2 	Rare 	Dana Knutson 	English Eighth Edition
304 	Iron Star 	Artifact 	1 	Uncommon 	Donato Giancola 	English Eighth Edition
305 	Ivory Cup 	Artifact 	1 	Uncommon 	Donato Giancola 	English Eighth Edition
306 	Jayemdae Tome 	Artifact 	4 	Rare 	Donato Giancola 	English Eighth Edition
307 	Millstone 	Artifact 	2 	Rare 	John Avon 	English Eighth Edition
308 	Patagia Golem 	Artifact Creature - Golem 2/3 	4 	Uncommon 	Kev Walker 	English Eighth Edition
309 	Phyrexian Colossus 	Artifact Creature 8/8 	7 	Rare 	Mark Tedin 	English Eighth Edition
310 	Phyrexian Hulk 	Artifact Creature 5/4 	6 	Uncommon 	Matthew D. Wilson 	English Eighth Edition
311 	Planar Portal 	Artifact 	6 	Rare 	Mark Tedin 	English Eighth Edition
312 	Rod of Ruin 	Artifact 	4 	Uncommon 	David Martin 	English Eighth Edition
313 	Skull of Orm 	Artifact 	3 	Rare 	Daren Bader 	English Eighth Edition
314 	Spellbook 	Artifact 	0 	Uncommon 	Andrew Goldhawk 	English Eighth Edition
315 	Star Compass 	Artifact 	2 	Uncommon 	Donato Giancola 	English Eighth Edition
316 	Teferi's Puzzle Box 	Artifact 	4 	Rare 	Donato Giancola 	English Eighth Edition
317 	Throne of Bone 	Artifact 	1 	Uncommon 	Donato Giancola 	English Eighth Edition
318 	Urza's Armor 	Artifact 	6 	Rare 	rk post 	English Eighth Edition
319 	Vexing Arcanix 	Artifact 	4 	Rare 	Jim Nelson 	English Eighth Edition
320 	Wall of Spears 	Artifact Creature - Wall 2/3 	3 	Uncommon 	Christopher Moeller 	English Eighth Edition
321 	Wooden Sphere 	Artifact 	1 	Uncommon 	Donato Giancola 	English Eighth Edition
322 	City of Brass 	Land 		Rare 	Ron Walotsky 	English Eighth Edition
323 	Coastal Tower 	Land 		Uncommon 	Don Hazeltine 	English Eighth Edition
324 	Elfhame Palace 	Land 		Uncommon 	Anthony S. Waters 	English Eighth Edition
325 	Salt Marsh 	Land 		Uncommon 	Jerry Tiritilli 	English Eighth Edition
326 	Shivan Oasis 	Land 		Uncommon 	Rob Alexander 	English Eighth Edition
327 	Urborg Volcano 	Land 		Uncommon 	Tony Szczudlo 	English Eighth Edition
328 	Urza's Mine 	Land - Urza's Mine 		Uncommon 	Brian Snõ 	English Eighth Edition
329 	Urza's Power Plant 	Land - Urza's Power-Plant 		Uncommon 	Brian Snõ 	English Eighth Edition
330 	Urza's Tower 	Land - Urza's Tower 		Uncommon 	Brian Snõ 	English Eighth Edition
331 	Plains 	Basic Land - Plains 		Land 	John Avon 	English Eighth Edition
332 	Plains 	Basic Land - Plains 		Land 	Matthew Mitchell 	English Eighth Edition
333 	Plains 	Basic Land - Plains 		Land 	John Avon 	English Eighth Edition
334 	Plains 	Basic Land - Plains 		Land 	Fred Fields 	English Eighth Edition
335 	Island 	Basic Land - Island 		Land 	John Avon 	English Eighth Edition
336 	Island 	Basic Land - Island 		Land 	John Avon 	English Eighth Edition
337 	Island 	Basic Land - Island 		Land 	Tony Szczudlo 	English Eighth Edition
338 	Island 	Basic Land - Island 		Land 	Scott Bailey 	English Eighth Edition
339 	Swamp 	Basic Land - Swamp 		Land 	Bob Eggleton 	English Eighth Edition
340 	Swamp 	Basic Land - Swamp 		Land 	John Avon 	English Eighth Edition
341 	Swamp 	Basic Land - Swamp 		Land 	Dan Frazier 	English Eighth Edition
342 	Swamp 	Basic Land - Swamp 		Land 	Larry Elmore 	English Eighth Edition
343 	Mountain 	Basic Land - Mountain 		Land 	John Avon 	English Eighth Edition
344 	Mountain 	Basic Land - Mountain 		Land 	John Avon 	English Eighth Edition
345 	Mountain 	Basic Land - Mountain 		Land 	John Avon 	English Eighth Edition
346 	Mountain 	Basic Land - Mountain 		Land 	Rob Alexander 	English Eighth Edition
347 	Forest 	Basic Land - Forest 		Land 	John Avon 	English Eighth Edition
348 	Forest 	Basic Land - Forest 		Land 	John Avon 	English Eighth Edition
349 	Forest 	Basic Land - Forest 		Land 	John Avon 	English Eighth Edition
350 	Forest 	Basic Land - Forest 		Land 	John Avon 	English Eighth Edition
