1 	Alabaster Leech 	Creature - Leech 1/3 	W 	Rare 	Edward P. Beard, Jr. 	English Invasion
293 	Spite (Spite/Malice) 	Instant 	3U 	Uncommon 	David Martin 	English Invasion
294 	Pain (Pain/Suffering) 	Sorcery 	B 	Uncommon 	David Martin 	English Invasion
295 	Assault (Assault/Battery) 	Sorcery 	R 	Uncommon 	Ben Thompson 	English Invasion
296 	Wax (Wax/Wane) 	Instant 	G 	Uncommon 	Ben Thompson 	English Invasion
297 	Alloy Golem 	Artifact Creature - Golem 4/4 	6 	Uncommon 	Greg Staples 	English Invasion
298 	Bloodstone Cameo 	Artifact 	3 	Uncommon 	Tony Szczudlo 	English Invasion
299 	Chromatic Sphere 	Artifact 	1 	Uncommon 	Luca Zontini 	English Invasion
300 	Crosis's Attendant 	Artifact Creature - Golem 3/3 	5 	Uncommon 	Arnie Swekel 	English Invasion
301 	Darigaaz's Attendant 	Artifact Creature - Golem 3/3 	5 	Uncommon 	Brom 	English Invasion
302 	Drake-Skull Cameo 	Artifact 	3 	Uncommon 	Dan Frazier 	English Invasion
303 	Dromar's Attendant 	Artifact Creature - Golem 3/3 	5 	Uncommon 	Carl Critchlow 	English Invasion
304 	Juntu Stakes 	Artifact 	2 	Rare 	Mark Brill 	English Invasion
305 	Lotus Guardian 	Artifact Creature 4/4 	7 	Rare 	Dana Knutson 	English Invasion
306 	Phyrexian Altar 	Artifact 	3 	Rare 	Ron Spears 	English Invasion
307 	Phyrexian Lens 	Artifact 	3 	Rare 	Matt Cavotta 	English Invasion
308 	Planar Portal 	Artifact 	6 	Rare 	Mark Tedin 	English Invasion
309 	Power Armor 	Artifact 	4 	Uncommon 	Doug Chaffee 	English Invasion
310 	Rith's Attendant 	Artifact Creature - Golem 3/3 	5 	Uncommon 	Adam Rex 	English Invasion
311 	Seashell Cameo 	Artifact 	3 	Uncommon 	Tony Szczudlo 	English Invasion
312 	Sparring Golem 	Artifact Creature - Golem 2/2 	3 	Uncommon 	Adam Rex 	English Invasion
313 	Tek 	Artifact Creature - Dragon 2/2 	5 	Rare 	Chippy 	English Invasion
314 	Tigereye Cameo 	Artifact 	3 	Uncommon 	Donato Giancola 	English Invasion
315 	Treva's Attendant 	Artifact Creature - Golem 3/3 	5 	Uncommon 	Christopher Moeller 	English Invasion
316 	Troll-Horn Cameo 	Artifact 	3 	Uncommon 	Donato Giancola 	English Invasion
317 	Tsabo's Web 	Artifact 	2 	Rare 	Carl Critchlow 	English Invasion
318 	Urza's Filter 	Artifact 	4 	Rare 	Dave Dorman 	English Invasion
319 	Ancient Spring 	Land 		Common 	Don Hazeltine 	English Invasion
320 	Archaeological Dig 	Land 		Uncommon 	Don Hazeltine 	English Invasion
321 	Coastal Tower 	Land 		Uncommon 	Don Hazeltine 	English Invasion
322 	Elfhame Palace 	Land 		Uncommon 	Jerry Tiritilli 	English Invasion
323 	Geothermal Crevice 	Land 		Common 	John Avon 	English Invasion
324 	Irrigation Ditch 	Land 		Common 	Rob Alexander 	English Invasion
325 	Keldon Necropolis 	Legendary Land 		Rare 	Franz Vohwinkel 	English Invasion
326 	Salt Marsh 	Land 		Uncommon 	Jerry Tiritilli 	English Invasion
327 	Shivan Oasis 	Land 		Uncommon 	Rob Alexander 	English Invasion
328 	Sulfur Vent 	Land 		Common 	Edward P. Beard, Jr. 	English Invasion
329 	Tinder Farm 	Land 		Common 	Rob Alexander 	English Invasion
330 	Urborg Volcano 	Land 		Uncommon 	Tony Szczudlo 	English Invasion
331 	Plains 	Land 		Land 	John Avon 	English Invasion
332 	Plains 	Land 		Land 	Ben Thompson 	English Invasion
333 	Plains 	Land 		Land 	D. J. Cleland-Hura 	English Invasion
334 	Plains 	Land 		Land 	Scott Bailey 	English Invasion
335 	Island 	Land 		Land 	Tony Szczudlo 	English Invasion
336 	Island 	Land 		Land 	John Avon 	English Invasion
337 	Island 	Land 		Land 	Terese Nielsen 	English Invasion
338 	Island 	Land 		Land 	Darrell Riche 	English Invasion
339 	Swamp 	Land 		Land 	Ron Spencer 	English Invasion
340 	Swamp 	Land 		Land 	Rob Alexander 	English Invasion
341 	Swamp 	Land 		Land 	Rob Alexander 	English Invasion
342 	Swamp 	Land 		Land 	Ron Spencer 	English Invasion
343 	Mountain 	Land 		Land 	Matt Cavotta 	English Invasion
344 	Mountain 	Land 		Land 	Jeff Miracola 	English Invasion
345 	Mountain 	Land 		Land 	Glen Angus 	English Invasion
346 	Mountain 	Land 		Land 	Scott Bailey 	English Invasion
347 	Forest 	Land 		Land 	John Avon 	English Invasion
348 	Forest 	Land 		Land 	Alan Pollack 	English Invasion
349 	Forest 	Land 		Land 	Alan Pollack 	English Invasion
350 	Forest 	Land 		Land 	Glen Angus 	English Invasion
351 	Deliver (Stand/Deliver) 	Instant 	2U 	Uncommon 	David Martin 	English Invasion
352 	Malice (Spite/Malice) 	Instant 	3B 	Uncommon 	David Martin 	English Invasion
353 	Suffering (Pain/Suffering) 	Instant 	3R 	Uncommon 	David Martin 	English Invasion
354 	Battery (Assault/Battery) 	Instant 	3G 	Uncommon 	Ben Thompson 	English Invasion
355 	Wane (Wax/Wane) 	Instant 	W 	Uncommon 	Ben Thompson 	English Invasion
