1 	Abandon Hope 	Sorcery 	X1B 	Uncommon 	Alan Pollack 	English Tempest
302 	Thumbscrews 	Artifact 	2 	Rare 	Charles Gillespie 	English Tempest
303 	Torture Chamber 	Artifact 	3 	Rare 	Thomas Gianni 	English Tempest
304 	Watchdog 	Artifact Creature 1/2 	3 	Uncommon 	Richard Kane Ferguson 	English Tempest
305 	Ancient Tomb 	Land 		Uncommon 	Colin MacNeil 	English Tempest
306 	Caldera Lake 	Land 		Rare 	L. A. Williams 	English Tempest
307 	Cinder Marsh 	Land 		Uncommon 	John Matson 	English Tempest
308 	Forest 	Land 		Land 	Douglas Shuler 	English Tempest
309 	Forest 	Land 		Land 	Douglas Shuler 	English Tempest
310 	Forest 	Land 		Land 	Douglas Shuler 	English Tempest
311 	Forest 	Land 		Land 	Douglas Shuler 	English Tempest
312 	Ghost Town 	Land 		Uncommon 	Tom Wärstrand 	English Tempest
313 	Island 	Land 		Land 	Randy Gallegos 	English Tempest
314 	Island 	Land 		Land 	Randy Gallegos 	English Tempest
315 	Island 	Land 		Land 	Randy Gallegos 	English Tempest
316 	Island 	Land 		Land 	Randy Gallegos 	English Tempest
317 	Maze of Shadows 	Land 		Uncommon 	D. Alexander Gregory 	English Tempest
318 	Mogg Hollows 	Land 		Uncommon 	Jeff Laubenstein 	English Tempest
319 	Mountain 	Land 		Land 	Mark Poole 	English Tempest
320 	Mountain 	Land 		Land 	Mark Poole 	English Tempest
321 	Mountain 	Land 		Land 	Mark Poole 	English Tempest
322 	Mountain 	Land 		Land 	Mark Poole 	English Tempest
323 	Pine Barrens 	Land 		Rare 	Rebecca Guay 	English Tempest
324 	Plains 	Land 		Land 	Terese Nielsen 	English Tempest
325 	Plains 	Land 		Land 	Terese Nielsen 	English Tempest
326 	Plains 	Land 		Land 	Terese Nielsen 	English Tempest
327 	Plains 	Land 		Land 	Terese Nielsen 	English Tempest
328 	Reflecting Pool 	Land 		Rare 	Adam Rex 	English Tempest
329 	Rootwater Depths 	Land 		Uncommon 	Roger Raupp 	English Tempest
330 	Salt Flats 	Land 		Rare 	Scott Kirschner 	English Tempest
331 	Scabland 	Land 		Rare 	Andrew Robinson 	English Tempest
332 	Skyshroud Forest 	Land 		Rare 	Roger Raupp 	English Tempest
333 	Stalking Stones 	Land 		Uncommon 	Stephen Daniele 	English Tempest
334 	Swamp 	Land 		Land 	Brom 	English Tempest
335 	Swamp 	Land 		Land 	Brom 	English Tempest
336 	Swamp 	Land 		Land 	Brom 	English Tempest
337 	Swamp 	Land 		Land 	Brom 	English Tempest
338 	Thalakos Lowlands 	Land 		Uncommon 	Jeff A. Menges 	English Tempest
339 	Vec Townships 	Land 		Uncommon 	Eric David Anderson 	English Tempest
340 	Wasteland 	Land 		Uncommon 	Una Fricker 	English Tempest
341 	Dracoplasm 	Summon Shapeshifter 0/0 	UR 	Rare 	Andrew Robinson 	English Tempest
342 	Lobotomy 	Sorcery 	2UB 	Uncommon 	Thomas M. Baxa 	English Tempest
343 	Ranger en-Vec 	Summon Soldier 2/2 	1WG 	Uncommon 	Randy Elliott 	English Tempest
344 	Segmented Wurm 	Summon Wurm 5/5 	3RG 	Uncommon 	Jeff Miracola 	English Tempest
345 	Selenia, Dark Angel 	Summon Legend 3/3 	3WB 	Rare 	Matthew Wilson 	English Tempest
346 	Sky Spirit 	Summon Spirit 2/2 	1WU 	Uncommon 	Rebecca Guay 	English Tempest
347 	Soltari Guerrillas 	Summon Soldiers 3/2 	2WR 	Rare 	Val Mayerik 	English Tempest
348 	Spontaneous Combustion 	Instant 	1BR 	Uncommon 	Doug Chaffee 	English Tempest
349 	Vhati il-Dal 	Summon Legend 3/3 	2BG 	Rare 	Ron Spencer 	English Tempest
350 	Wood Sage 	Summon Druid 1/1 	UG 	Rare 	Paolo Parente 	English Tempest
