1 	Altar's Light 	Instant 	2WW 	Uncommon 	Daren Bader 	English Mirrodin
282 	Great Furnace 	Artifact Land 		Common 	Rob Alexander 	English Mirrodin
283 	Seat of the Synod 	Artifact Land 		Common 	John Avon 	English Mirrodin
284 	Stalking Stones 	Land 		Uncommon 	David Day 	English Mirrodin
285 	Tree of Tales 	Artifact Land 		Common 	John Avon 	English Mirrodin
286 	Vault of Whispers 	Artifact Land 		Common 	Rob Alexander 	English Mirrodin
287 	Plains 	Basic Land - Plains 		Land 	Mark Tedin 	English Mirrodin
288 	Plains 	Basic Land - Plains 		Land 	Rob Alexander 	English Mirrodin
289 	Plains 	Basic Land - Plains 		Land 	Martina Pilcerova 	English Mirrodin
290 	Plains 	Basic Land - Plains 		Land 	John Avon 	English Mirrodin
291 	Island 	Basic Land - Island 		Land 	Mark Tedin 	English Mirrodin
292 	Island 	Basic Land - Island 		Land 	Rob Alexander 	English Mirrodin
293 	Island 	Basic Land - Island 		Land 	Martina Pilcerova 	English Mirrodin
294 	Island 	Basic Land - Island 		Land 	John Avon 	English Mirrodin
295 	Swamp 	Basic Land - Swamp 		Land 	Mark Tedin 	English Mirrodin
296 	Swamp 	Basic Land - Swamp 		Land 	Rob Alexander 	English Mirrodin
297 	Swamp 	Basic Land - Swamp 		Land 	Martina Pilcerova 	English Mirrodin
298 	Swamp 	Basic Land - Swamp 		Land 	John Avon 	English Mirrodin
299 	Mountain 	Basic Land - Mountain 		Land 	Mark Tedin 	English Mirrodin
300 	Mountain 	Basic Land - Mountain 		Land 	Rob Alexander 	English Mirrodin
301 	Mountain 	Basic Land - Mountain 		Land 	Martina Pilcerova 	English Mirrodin
302 	Mountain 	Basic Land - Mountain 		Land 	John Avon 	English Mirrodin
303 	Forest 	Basic Land - Forest 		Land 	Mark Tedin 	English Mirrodin
304 	Forest 	Basic Land - Forest 		Land 	Rob Alexander 	English Mirrodin
305 	Forest 	Basic Land - Forest 		Land 	Martina Pilcerova 	English Mirrodin
306 	Forest 	Basic Land - Forest 		Land 	John Avon 	English Mirrodin
