1 	Aegis of Honor 	Enchantment 	W 	Rare 	Ron Spears 	English Odyssey
287 	Decimate 	Sorcery 	2RG 	Rare 	Alex Horley-Orlandelli 	English Odyssey
288 	Iridescent Angel 	Creature - Angel 4/4 	5WU 	Rare 	Matt Cavotta 	English Odyssey
289 	Lithatog 	Creature - Atog 1/2 	1RG 	Uncommon 	Franz Vohwinkel 	English Odyssey
290 	Mystic Enforcer 	Creature - Nomad Mystic 3/3 	2WG 	Rare 	Gary Ruddell 	English Odyssey
291 	Phantatog 	Creature - Atog 1/2 	1WU 	Uncommon 	Glen Angus 	English Odyssey
292 	Psychatog 	Creature - Atog 1/2 	1UB 	Uncommon 	Edward P. Beard, Jr. 	English Odyssey
293 	Sarcatog 	Creature - Atog 1/2 	1BR 	Uncommon 	Mark Brill 	English Odyssey
294 	Shadowmage Infiltrator 	Creature - Wizard 1/3 	1UB 	Rare 	Rick Farrell 	English Odyssey
295 	Thaumatog 	Creature - Atog 1/2 	1WG 	Uncommon 	Monte Michael Moore 	English Odyssey
296 	Vampiric Dragon 	Creature - Vampire Dragon 5/5 	6BR 	Rare 	Gary Ruddell 	English Odyssey
297 	Catalyst Stone 	Artifact 	2 	Rare 	Tony Szczudlo 	English Odyssey
298 	Charmed Pendant 	Artifact 	4 	Rare 	Anthony S. Waters 	English Odyssey
299 	Darkwater Egg 	Artifact 	1 	Uncommon 	David Martin 	English Odyssey
300 	Junk Golem 	Artifact Creature - Golem 0/0 	4 	Rare 	Brian Snõ 	English Odyssey
301 	Limestone Golem 	Artifact Creature - Golem 3/4 	6 	Uncommon 	Mark Tedin 	English Odyssey
302 	Millikin 	Artifact Creature 0/1 	2 	Uncommon 	Alex Horley-Orlandelli 	English Odyssey
303 	Mirari 	Legendary Artifact 	5 	Rare 	Donato Giancola 	English Odyssey
304 	Mossfire Egg 	Artifact 	1 	Uncommon 	David Martin 	English Odyssey
305 	Otarian Juggernaut 	Artifact Creature 2/3 	4 	Rare 	Brian Snõ 	English Odyssey
306 	Patchwork Gnomes 	Artifact Creature - Gnome 2/1 	3 	Uncommon 	Jerry Tiritilli 	English Odyssey
307 	Sandstone Deadfall 	Artifact 	3 	Uncommon 	Jim Nelson 	English Odyssey
308 	Shadowblood Egg 	Artifact 	1 	Uncommon 	David Martin 	English Odyssey
309 	Skycloud Egg 	Artifact 	1 	Uncommon 	David Martin 	English Odyssey
310 	Steamclaw 	Artifact 	2 	Uncommon 	Jim Nelson 	English Odyssey
311 	Sungrass Egg 	Artifact 	1 	Uncommon 	David Martin 	English Odyssey
312 	Abandoned Outpost 	Land 		Common 	Edward P. Beard, Jr. 	English Odyssey
313 	Barbarian Ring 	Land 		Uncommon 	John Avon 	English Odyssey
314 	Bog Wreckage 	Land 		Common 	Brian Snõ 	English Odyssey
315 	Cabal Pit 	Land 		Uncommon 	John Avon 	English Odyssey
316 	Centaur Garden 	Land 		Uncommon 	John Avon 	English Odyssey
317 	Cephalid Coliseum 	Land 		Uncommon 	John Avon 	English Odyssey
318 	Crystal Quarry 	Land 		Rare 	Alan Pollack 	English Odyssey
319 	Darkwater Catacombs 	Land 		Rare 	Monte Michael Moore 	English Odyssey
320 	Deserted Temple 	Land 		Rare 	Rob Alexander 	English Odyssey
321 	Mossfire Valley 	Land 		Rare 	John Avon 	English Odyssey
322 	Nomad Stadium 	Land 		Uncommon 	David Martin 	English Odyssey
323 	Petrified Field 	Land 		Rare 	Glen Angus 	English Odyssey
324 	Ravaged Highlands 	Land 		Common 	David Martin 	English Odyssey
325 	Seafloor Debris 	Land 		Common 	Larry Elmore 	English Odyssey
326 	Shadowblood Ridge 	Land 		Rare 	Glen Angus 	English Odyssey
327 	Skycloud Expanse 	Land 		Rare 	Rob Alexander 	English Odyssey
328 	Sungrass Prairie 	Land 		Rare 	Ron Spencer 	English Odyssey
329 	Tarnished Citadel 	Land 		Rare 	David Martin 	English Odyssey
330 	Timberland Ruins 	Land 		Common 	Alan Pollack 	English Odyssey
331 	Plains 	Land 		Land 	Alan Pollack 	English Odyssey
332 	Plains 	Land 		Land 	Don Hazeltine 	English Odyssey
333 	Plains 	Land 		Land 	Eric Peterson 	English Odyssey
334 	Plains 	Land 		Land 	Rob Alexander 	English Odyssey
335 	Island 	Land 		Land 	Alan Pollack 	English Odyssey
336 	Island 	Land 		Land 	Ben Thompson 	English Odyssey
337 	Island 	Land 		Land 	Larry Elmore 	English Odyssey
338 	Island 	Land 		Land 	Rob Alexander 	English Odyssey
339 	Swamp 	Land 		Land 	Jerry Tiritilli 	English Odyssey
340 	Swamp 	Land 		Land 	Arnie Swekel 	English Odyssey
341 	Swamp 	Land 		Land 	Rob Alexander 	English Odyssey
342 	Swamp 	Land 		Land 	Alan Pollack 	English Odyssey
343 	Mountain 	Land 		Land 	Anthony S. Waters 	English Odyssey
344 	Mountain 	Land 		Land 	Franz Vohwinkel 	English Odyssey
345 	Mountain 	Land 		Land 	Rob Alexander 	English Odyssey
346 	Mountain 	Land 		Land 	Tony Szczudlo 	English Odyssey
347 	Forest 	Land 		Land 	Larry Elmore 	English Odyssey
348 	Forest 	Land 		Land 	Rob Alexander 	English Odyssey
349 	Forest 	Land 		Land 	Jerry Tiritilli 	English Odyssey
350 	Forest 	Land 		Land 	Tony Szczudlo 	English Odyssey
